State,StateKey,Variant,AlertId,Strength,Suggested,CapLines,DecayDraws,Badges,Canonical,ImpliedSet,Evidence,Winner Midday,Winner Evening,Midday Hits,Evening Hits
New Jersey,NewJersey4,Combined,A04,3,BOX,12,3,PERSIST,678,"[""678"",""687"",""768"",""786"",""867"",""876""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",106,152,-,-
New York,NewYork4,Evening,A04,3,BOX,12,3,PERSIST,459,"[""459"",""495"",""549"",""594"",""945"",""954""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":1}",638,767,-,-
North Carolina,NorthCarolina4,Midday,A04,3,BOX,12,3,PERSIST,034,"[""034"",""043"",""304"",""340"",""403"",""430""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":1}",920,145,-,-
Ohio,Ohio4,Midday,A04,3,BOX,12,3,PERSIST,039,"[""039"",""093"",""309"",""390"",""903"",""930""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",734,368,-,-
Ontario,OntarioCanada4,Midday,A04,3,BOX,12,3,PERSIST/BA,049,"[""049"",""094"",""409"",""490"",""904"",""940""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":2}",325,438,-,-
Pennsylvania,Pennsylvania4,Evening,A04,3,BOX,12,3,PERSIST/BA,138,"[""138"",""183"",""318"",""381"",""813"",""831""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":2}",164,040,-,-
Puerto Rico,PuertoRico4,Combined,A04,3,BOX,12,3,PERSIST,024,"[""024"",""042"",""204"",""240"",""402"",""420""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",858,454,-,-
South Carolina,SouthCarolina4,Midday,A04,3,BOX,12,3,PERSIST,138,"[""138"",""183"",""318"",""381"",""813"",""831""]","{""persistence_set_count"":3,""rowcov"":3,""ba_score"":1}",958,314,-,-
Connecticut,Connecticut4,Evening,A05,4,STR8_3,3,2,PERM/HP4,244,"[""244"",""424"",""442""]","{""horiz_span"":4,""orders_modal_value"":""244"",""orders_modal_rows"":3,""lane_size"":3}",130,938,-,-
Delaware,Delaware4,Midday,A05,4,STR8_3,3,2,PERM/HP3,066,"[""066"",""606"",""660""]","{""horiz_span"":3,""orders_modal_value"":""066"",""orders_modal_rows"":4,""lane_size"":3}",669,919,-,-
Florida,Florida4,Evening,A05,4,STR8_3,3,2,PERM/HP6,003,"[""003"",""030"",""300""]","{""horiz_span"":6,""orders_modal_value"":""003"",""orders_modal_rows"":4,""lane_size"":3}",665,465,-,-
Indiana,Indiana4,Evening,A05,4,STR8_8,8,2,PERM/HP2,024,"[""024"",""029"",""074"",""079"",""524"",""529"",""574"",""579""]","{""horiz_span"":2,""orders_modal_value"":""024"",""orders_modal_rows"":4,""lane_size"":8}",110,032,-,-
Michigan,Michigan4,Midday,A05,4,STR8_3,3,2,PERM/HP2,077,"[""077"",""707"",""770""]","{""horiz_span"":2,""orders_modal_value"":""077"",""orders_modal_rows"":4,""lane_size"":3}",392,964,-,-
New Jersey,NewJersey4,Evening,A05,4,STR8_3,3,2,PERM/HP7,788,"[""788"",""878"",""887""]","{""horiz_span"":7,""orders_modal_value"":""887"",""orders_modal_rows"":3,""lane_size"":3}",106,152,-,-
New York,NewYork4,Combined,A05,4,STR8_3,3,2,PERM/HP7,449,"[""449"",""494"",""944""]","{""horiz_span"":7,""orders_modal_value"":""944"",""orders_modal_rows"":4,""lane_size"":3}",638,767,-,-
North Carolina,NorthCarolina4,Midday,A05,4,STR8_3,3,2,PERM/HP5,334,"[""334"",""343"",""433""]","{""horiz_span"":5,""orders_modal_value"":""334"",""orders_modal_rows"":3,""lane_size"":3}",920,145,-,-
Ohio,Ohio4,Midday,A05,4,STR8_3,3,2,PERM/HP4,003,"[""003"",""030"",""300""]","{""horiz_span"":4,""orders_modal_value"":""003"",""orders_modal_rows"":4,""lane_size"":3}",734,368,-,-
Ontario,OntarioCanada4,Evening,A05,4,STR8_3,3,2,PERM/HP5,224,"[""224"",""242"",""422""]","{""horiz_span"":5,""orders_modal_value"":""224"",""orders_modal_rows"":3,""lane_size"":3}",325,438,-,-
Pennsylvania,Pennsylvania4,Evening,A05,4,STR8_3,3,2,PERM/HP2,003,"[""003"",""030"",""300""]","{""horiz_span"":2,""orders_modal_value"":""003"",""orders_modal_rows"":4,""lane_size"":3}",164,040,-,-
Puerto Rico,PuertoRico4,Evening,A05,4,STR8_3,3,2,PERM/HP5,244,"[""244"",""424"",""442""]","{""horiz_span"":5,""orders_modal_value"":""244"",""orders_modal_rows"":3,""lane_size"":3}",858,454,-,-
South Carolina,SouthCarolina4,Evening,A05,4,STR8_3,3,2,PERM/HP6,899,"[""899"",""989"",""998""]","{""horiz_span"":6,""orders_modal_value"":""998"",""orders_modal_rows"":3,""lane_size"":3}",958,314,-,-
Virginia,Virginia4,Evening,A05,4,STR8_3,3,2,PERM/HP2,559,"[""559"",""595"",""955""]","{""horiz_span"":2,""orders_modal_value"":""559"",""orders_modal_rows"":3,""lane_size"":3}",579,385,-,-
Delaware,Delaware4,Combined,A08,4,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":3,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",669,919,-,-
Florida,Florida4,Combined,A08,4,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":3,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",665,465,-,-
Florida,Florida4,Evening,A08,4,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":3,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",665,465,-,-
Michigan,Michigan4,Combined,A08,4,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":3,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",392,964,-,-
Ontario,OntarioCanada4,Combined,A08,4,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":3,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",325,438,-,-
Virginia,Virginia4,Combined,A08,4,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":3,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",579,385,-,-
Connecticut,Connecticut4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",130,938,-,-
Connecticut,Connecticut4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",130,938,-,-
Connecticut,Connecticut4,Midday,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",130,938,-,-
Delaware,Delaware4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",669,919,-,-
Florida,Florida4,Midday,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",665,465,-,-
New York,NewYork4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",638,767,-,-
Ohio,Ohio4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",734,368,-,-
Ontario,OntarioCanada4,Midday,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",325,438,-,-
Pennsylvania,Pennsylvania4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",164,040,-,-
Pennsylvania,Pennsylvania4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",164,040,-,-
Pennsylvania,Pennsylvania4,Midday,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",164,040,-,-
Virginia,Virginia4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",579,385,-,-
Virginia,Virginia4,Midday,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",579,385,-,-
Virginia,Virginia4,Midday,A09,4,STR8_8,8,1,VTRAC/REP,-,"[""234"",""239"",""284"",""289"",""734"",""739"",""784"",""789""]","{""current_index"":30,""current_streak"":2,""vcode"":""v345"",""lane_size"":8}",579,385,-,-
North Carolina,NorthCarolina4,Combined,A10,4,STR8_3,3,3,DBL/RANK1,455,"[""455"",""545"",""554""]","{""due_doubles_rank"":1,""due_doubles_canonical"":""455"",""due_doubles_gap"":1000,""due_doubles_unseen"":true,""due_doubles_family"":""0/5-4/9""}",920,145,-,-
South Carolina,SouthCarolina4,Combined,A10,3,STR8_3,3,3,DBL/RANK2,155,"[""155"",""515"",""551""]","{""due_doubles_rank"":2,""due_doubles_canonical"":""155"",""due_doubles_gap"":1000,""due_doubles_unseen"":true,""due_doubles_family"":""0/5-1/6""}",958,314,-,-
Virginia,Virginia4,Combined,A10,3,STR8_3,3,3,DBL/RANK3,005,"[""005"",""050"",""500""]","{""due_doubles_rank"":3,""due_doubles_canonical"":""005"",""due_doubles_gap"":1000,""due_doubles_unseen"":true,""due_doubles_family"":""0/5""}",579,385,-,-
Connecticut,Connecticut4,Combined,A11,5,BOX,12,2,HOT/CONS,067,"[""067"",""076"",""607"",""670"",""706"",""760""]","{""triad"":""358"",""col"":""1"",""evidence_tags"":""col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical5,vt_only_lane,vt_straight"",""star_level"":2,""a11_star_score"":35.25}",130,938,-,-
Indiana,Indiana4,Combined,A11,5,BOX,12,2,HOT/CONS,024,"[""024"",""042"",""204"",""240"",""402"",""420""]","{""triad"":""027"",""col"":""1"",""evidence_tags"":""col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical5,vt_only_lane,vt_straight"",""star_level"":2,""a11_star_score"":36.65}",110,032,-,-
Michigan,Michigan4,Combined,A11,5,BOX,12,2,HOT/CONS,048,"[""048"",""084"",""408"",""480"",""804"",""840""]","{""triad"":""007"",""col"":""1"",""evidence_tags"":""col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"",""star_level"":2,""a11_star_score"":36.75}",392,964,-,-
Ohio,Ohio4,Combined,A11,5,BOX,12,2,HOT/CONS,-,,"{""triad"":""199"",""col"":""1"",""evidence_tags"":""col1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"",""star_level"":2,""a11_star_score"":35.25}",734,368,-,-
Pennsylvania,Pennsylvania4,Combined,A11,5,BOX,12,2,HOT/CONS,019,"[""019"",""091"",""109"",""190"",""901"",""910""]","{""triad"":""057"",""col"":""1"",""evidence_tags"":""col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_straight"",""star_level"":2,""a11_star_score"":36.15}",164,040,-,-
Puerto Rico,PuertoRico4,Combined,A11,5,BOX,12,2,HOT/CONS,024,"[""024"",""042"",""204"",""240"",""402"",""420""]","{""triad"":""155"",""col"":""1"",""evidence_tags"":""col1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"",""star_level"":2,""a11_star_score"":36.45}",858,454,-,-
South Carolina,SouthCarolina4,Combined,A11,5,BOX,12,2,HOT/CONS,578,"[""578"",""587"",""758"",""785"",""857"",""875""]","{""triad"":""478"",""col"":""1"",""evidence_tags"":""col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"",""star_level"":2,""a11_star_score"":35.65}",958,314,-,-
Connecticut,Connecticut4,Evening,A12,3,STR8_4of8,5,2,PERM/CLAMP,446,"[""644"",""649"",""694"",""699""]","{""order_dominance"":0.75,""orders_modal_value"":""644"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",130,938,-,-
Delaware,Delaware4,Evening,A12,3,STR8_4of8,5,2,PERM/CLAMP,338,"[""833"",""838"",""883"",""888""]","{""order_dominance"":0.75,""orders_modal_value"":""833"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",669,919,-,-
North Carolina,NorthCarolina4,Combined,A12,3,STR8_4of8,5,2,PERM/CLAMP,488,"[""834"",""839"",""884"",""889""]","{""order_dominance"":0.75,""orders_modal_value"":""884"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",920,145,-,-
Ohio,Ohio4,Combined,A12,3,STR8_4of8,5,2,PERM/CLAMP,335,"[""533"",""538"",""583"",""588""]","{""order_dominance"":0.75,""orders_modal_value"":""533"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",734,368,-,-
Virginia,Virginia4,Evening,A12,3,STR8_4of8,5,2,PERM/CLAMP,455,"[""504"",""509"",""554"",""559""]","{""order_dominance"":0.75,""orders_modal_value"":""554"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",579,385,-,-
